Starting Portfolio Value: 10000.00
2018-02-07, SHORT-SELL, 38.45
2018-02-08, SELL EXECUTED, 38.63
2018-02-27, BUY, 43.17
2018-02-28, BUY EXECUTED, 43.38
2018-02-28, LONG -BUY, 43.10
2018-03-01, BUY EXECUTED, 43.20
2018-03-23, SELL, 39.91
2018-03-26, SELL EXECUTED, 40.67
2018-03-26, SHORT-SELL, 41.81
2018-03-27, SELL EXECUTED, 42.03
2018-04-16, BUY, 42.54
2018-04-17, BUY EXECUTED, 42.71
2018-04-17, LONG -BUY, 43.13
2018-04-18, BUY EXECUTED, 43.03
2018-04-23, SELL, 39.98
2018-04-24, SELL EXECUTED, 40.09
2018-04-24, SHORT-SELL, 39.43
2018-04-25, SELL EXECUTED, 39.35
2018-05-04, BUY, 44.48
2018-05-07, BUY EXECUTED, 44.81
2018-05-07, LONG -BUY, 44.80
2018-05-08, BUY EXECUTED, 44.76
2018-06-04, SELL, 46.60
2018-06-05, SELL EXECUTED, 46.90
2018-06-05, LONG -BUY, 46.96
2018-06-06, BUY EXECUTED, 47.03
2018-06-06, SELL, 47.12
2018-06-07, SELL EXECUTED, 47.16
2018-06-07, LONG -BUY, 46.99
2018-06-08, BUY EXECUTED, 46.44
2018-06-27, SELL, 44.73
2018-06-28, SELL EXECUTED, 44.72
2018-06-28, SHORT-SELL, 45.06
2018-06-29, SELL EXECUTED, 45.25
2018-07-09, BUY, 46.29
2018-07-10, BUY EXECUTED, 46.33
2018-07-10, LONG -BUY, 46.24
2018-07-11, BUY EXECUTED, 45.79
2018-08-01, SELL, 48.95
2018-08-02, SELL EXECUTED, 48.72
2018-08-02, LONG -BUY, 50.38
2018-08-03, BUY EXECUTED, 50.29
2018-08-03, SELL, 50.52
2018-08-06, SELL EXECUTED, 50.53
2018-08-06, LONG -BUY, 50.79
2018-08-07, BUY EXECUTED, 50.85
2018-08-29, SELL, 54.35
2018-08-30, SELL EXECUTED, 54.42
2018-08-30, LONG -BUY, 54.85
2018-08-31, BUY EXECUTED, 55.21
2018-08-31, SELL, 55.49
2018-09-04, SELL EXECUTED, 55.68
2018-09-04, LONG -BUY, 55.67
2018-09-05, BUY EXECUTED, 55.82
2018-10-02, SELL, 55.89
2018-10-03, SELL EXECUTED, 56.08
2018-10-03, LONG -BUY, 56.57
2018-10-04, BUY EXECUTED, 56.26
2018-10-19, SELL, 53.46
2018-10-22, SELL EXECUTED, 53.58
2018-10-22, SHORT-SELL, 53.79
2018-10-23, SELL EXECUTED, 52.61
2018-10-23, BUY, 54.29
2018-10-24, BUY EXECUTED, 54.26
2018-10-24, SHORT-SELL, 52.43
2018-10-25, SELL EXECUTED, 53.07
2018-11-02, BUY, 50.58
2018-11-05, BUY EXECUTED, 49.80
2018-11-05, SHORT-SELL, 49.14
2018-11-06, SELL EXECUTED, 49.22
2018-11-06, BUY, 49.67
2018-11-07, BUY EXECUTED, 50.21
2018-11-07, SHORT-SELL, 51.18
2018-11-08, SELL EXECUTED, 51.36
2018-11-12, BUY, 47.50
2018-11-13, BUY EXECUTED, 46.87
2018-11-13, SHORT-SELL, 47.02
2018-11-14, SELL EXECUTED, 47.43
2018-11-14, BUY, 45.69
2018-11-15, BUY EXECUTED, 46.08
2018-11-15, SHORT-SELL, 46.82
2018-11-16, SELL EXECUTED, 46.60
2018-11-20, BUY, 43.29
2018-11-21, BUY EXECUTED, 43.96
2018-11-21, SHORT-SELL, 43.24
2018-11-23, SELL EXECUTED, 42.79
2018-12-20, BUY, 38.36
2018-12-21, BUY EXECUTED, 38.37
2018-12-21, SHORT-SELL, 36.87
2018-12-24, SELL EXECUTED, 36.24
2018-12-24, BUY, 35.92
2018-12-26, BUY EXECUTED, 36.28
2018-12-26, SHORT-SELL, 38.45
2018-12-27, SELL EXECUTED, 38.12
2019-01-03, BUY, 34.78
2019-01-04, BUY EXECUTED, 35.35
2019-01-04, SHORT-SELL, 36.27
2019-01-07, SELL EXECUTED, 36.37
2019-02-04, BUY, 41.89
2019-02-05, BUY EXECUTED, 42.28
2019-02-05, LONG -BUY, 42.61
2019-02-06, BUY EXECUTED, 42.72
2019-02-06, SELL, 42.62
2019-02-07, SELL EXECUTED, 42.17
2019-02-07, LONG -BUY, 41.81
2019-02-08, BUY EXECUTED, 41.51
2019-03-11, SELL, 43.95
2019-03-12, SELL EXECUTED, 44.22
2019-03-12, LONG -BUY, 44.44
2019-03-13, BUY EXECUTED, 44.77
2019-03-13, SELL, 44.64
2019-03-14, SELL EXECUTED, 45.18
2019-03-14, LONG -BUY, 45.14
2019-03-15, BUY EXECUTED, 45.41
2019-03-15, SELL, 45.72
2019-03-18, SELL EXECUTED, 45.64
2019-03-18, LONG -BUY, 46.19
2019-03-19, BUY EXECUTED, 46.27
2019-03-21, SELL, 47.93
2019-03-22, SELL EXECUTED, 47.99
2019-03-22, LONG -BUY, 46.93
2019-03-25, BUY EXECUTED, 47.05
2019-04-08, SELL, 49.16
2019-04-09, SELL EXECUTED, 49.21
2019-04-09, LONG -BUY, 49.01
2019-04-10, BUY EXECUTED, 48.81
2019-05-01, SELL, 51.72
2019-05-02, SELL EXECUTED, 51.55
2019-05-02, LONG -BUY, 51.38
2019-05-03, BUY EXECUTED, 51.81
2019-05-03, SELL, 52.02
2019-05-06, SELL EXECUTED, 50.19
2019-05-06, LONG -BUY, 51.22
2019-05-07, BUY EXECUTED, 50.58
2019-05-15, SELL, 47.08
2019-05-16, SELL EXECUTED, 46.83
2019-05-16, SHORT-SELL, 46.88
2019-05-17, SELL EXECUTED, 46.10
2019-06-17, BUY, 47.81
2019-06-18, BUY EXECUTED, 48.35
2019-06-18, LONG -BUY, 48.94
2019-06-19, BUY EXECUTED, 49.24
2019-07-23, SELL, 51.50
2019-07-24, SELL EXECUTED, 51.21
2019-07-24, LONG -BUY, 51.46
2019-07-25, BUY EXECUTED, 51.51
2019-07-31, SELL, 52.54
2019-08-01, SELL EXECUTED, 52.75
2019-08-01, LONG -BUY, 51.40
2019-08-02, BUY EXECUTED, 50.69
2019-09-11, SELL, 55.35
2019-09-12, SELL EXECUTED, 55.65
2019-09-12, LONG -BUY, 55.22
2019-09-13, BUY EXECUTED, 54.46
2019-10-04, SELL, 56.19
2019-10-07, SELL EXECUTED, 56.01
2019-10-07, LONG -BUY, 56.21
2019-10-08, BUY EXECUTED, 55.90
2019-10-10, SELL, 56.96
2019-10-11, SELL EXECUTED, 57.67
2019-10-11, LONG -BUY, 58.47
2019-10-14, BUY EXECUTED, 58.15
2019-10-14, SELL, 58.39
2019-10-15, SELL EXECUTED, 58.52
2019-10-15, LONG -BUY, 58.25
2019-10-16, BUY EXECUTED, 57.77
2019-11-01, SELL, 63.33
2019-11-04, SELL EXECUTED, 63.70
2019-11-04, LONG -BUY, 63.74
2019-11-05, BUY EXECUTED, 63.63
2019-12-06, SELL, 67.21
2019-12-09, SELL EXECUTED, 67.04
2019-12-09, LONG -BUY, 66.27
2019-12-10, BUY EXECUTED, 66.69
2019-12-13, SELL, 68.32
2019-12-16, SELL EXECUTED, 68.78
2019-12-16, LONG -BUY, 69.49
2019-12-17, BUY EXECUTED, 69.41
2019-12-17, SELL, 69.62
2019-12-18, SELL EXECUTED, 69.47
2019-12-18, LONG -BUY, 69.46
2019-12-19, BUY EXECUTED, 69.40
2019-12-26, SELL, 71.98
2019-12-27, SELL EXECUTED, 72.28
2019-12-27, LONG -BUY, 71.95
2019-12-30, BUY EXECUTED, 71.87
Final Portfolio Value: 12679.00
